Date,Close,Open,High,Low,Volumn,Percent Change
3/8/2022,"1,490.17","1,500.07","1,506.65","1,486.68",0.22M,-1.26%
3/7/2022,"1,509.12","1,514.76","1,518.32","1,505.79",0.22M,-1.06%
3/4/2022,"1,525.34","1,525.23","1,529.93","1,519.97",0.22M,0.19%
3/3/2022,"1,522.49","1,507.53","1,522.49","1,502.41",0.24M,1.59%
3/2/2022,"1,498.61","1,516.31","1,517.49","1,495.16",0.29M,-1.42%
3/1/2022,"1,520.12","1,521.44","1,525.00","1,515.49",0.19M,0.19%
2/28/2022,"1,517.18","1,525.58","1,533.32","1,512.45",0.19M,-0.61%
2/25/2022,"1,526.50","1,531.97","1,540.13","1,526.50",0.20M,0.29%
2/24/2022,"1,522.04","1,537.50","1,540.13","1,503.22",0.28M,-1.09%
2/23/2022,"1,538.83","1,536.60","1,547.19","1,534.19",0.16M,0.42%
2/22/2022,"1,532.36","1,532.07","1,532.36","1,510.07",0.22M,-0.07%
2/21/2022,"1,533.40","1,530.65","1,537.56","1,522.48",0.16M,0.13%
2/18/2022,"1,531.47","1,525.21","1,533.53","1,523.88",0.16M,-0.59%
2/17/2022,"1,540.51","1,521.37","1,540.51","1,521.37",0.15M,1.25%
2/16/2022,"1,521.47","1,534.39","1,534.50","1,517.52",0.12M,-0.39%
2/15/2022,"1,527.36","1,508.25","1,530.04","1,506.69",0.18M,1.48%
2/14/2022,"1,505.07","1,530.50","1,536.77","1,505.07",0.25M,-2.64%
2/11/2022,"1,545.92","1,544.76","1,549.37","1,540.50",0.17M,-0.20%
2/10/2022,"1,548.95","1,554.98","1,557.89","1,536.02",0.23M,-0.22%
2/9/2022,"1,552.44","1,554.59","1,570.32","1,552.44",0.23M,0.13%
2/8/2022,"1,550.46","1,539.49","1,555.01","1,537.16",0.22M,0.60%
2/7/2022,"1,541.25","1,548.38","1,555.01","1,541.25",0.18M,0.59%
1/28/2022,"1,532.24","1,516.40","1,535.57","1,515.85",0.19M,1.03%
1/27/2022,"1,516.57","1,520.82","1,528.81","1,507.26",0.16M,-0.57%
1/26/2022,"1,525.31","1,519.90","1,533.61","1,516.96",0.24M,0.60%
1/25/2022,"1,516.16","1,471.56","1,516.16","1,466.07",0.19M,3.05%
1/24/2022,"1,471.31","1,496.36","1,499.22","1,465.76",0.24M,-2.05%
1/21/2022,"1,502.16","1,497.61","1,508.65","1,492.21",0.22M,0.63%
1/20/2022,"1,492.81","1,479.81","1,499.47","1,474.67",0.16M,0.69%
1/19/2022,"1,482.55","1,479.74","1,491.00","1,475.06",0.14M,0.37%
1/18/2022,"1,477.06","1,473.04","1,489.13","1,464.41",0.21M,-0.10%
1/17/2022,"1,478.61","1,523.17","1,529.28","1,478.61",0.29M,-2.95%
1/14/2022,"1,523.57","1,523.96","1,530.20","1,513.17",0.14M,-0.19%
1/13/2022,"1,526.43","1,533.38","1,548.49","1,524.66",0.31M,-0.24%
1/12/2022,"1,530.04","1,498.63","1,530.04","1,484.93",0.28M,2.02%
1/11/2022,"1,499.74","1,516.74","1,519.84","1,497.78",0.19M,-0.99%
1/10/2022,"1,514.70","1,531.13","1,537.71","1,514.70",0.20M,-1.14%
1/7/2022,"1,532.24","1,548.77","1,550.47","1,532.24",0.20M,-0.82%
1/6/2022,"1,544.95","1,542.34","1,554.97","1,541.19",0.23M,-0.07%
1/5/2022,"1,546.01","1,559.33","1,562.93","1,546.01",0.22M,-0.82%
1/4/2022,"1,558.87","1,536.45","1,562.54","1,536.45",0.21M,1.51%
12/31/2021,"1,535.71","1,523.58","1,537.32","1,523.41",0.18M,1.06%
12/30/2021,"1,519.62","1,515.75","1,526.20","1,515.75",0.15M,0.24%
12/29/2021,"1,515.94","1,525.82","1,528.90","1,515.94",0.15M,-0.50%
12/28/2021,"1,523.54","1,518.56","1,523.54","1,509.58",0.19M,0.59%
12/27/2021,"1,514.55","1,515.24","1,517.45","1,500.31",0.13M,0.52%
12/24/2021,"1,506.67","1,484.51","1,507.48","1,481.37",0.20M,1.98%
12/23/2021,"1,477.37","1,504.61","1,506.43","1,470.94",0.24M,-1.78%
12/22/2021,"1,504.12","1,514.98","1,519.74","1,498.96",0.22M,-0.49%
12/21/2021,"1,511.48","1,512.01","1,517.69","1,507.89",0.18M,-0.14%
12/20/2021,"1,513.60","1,519.69","1,521.62","1,509.54",0.18M,0.00%
12/17/2021,"1,513.56","1,513.36","1,520.97","1,511.19",0.22M,0.22%
12/16/2021,"1,510.17","1,526.63","1,526.75","1,501.41",0.19M,-0.61%
12/15/2021,"1,519.42","1,516.91","1,525.14","1,512.05",0.15M,0.20%
12/14/2021,"1,516.44","1,518.39","1,529.93","1,513.14",0.17M,-0.29%
12/13/2021,"1,520.80","1,523.74","1,526.53","1,517.98",0.17M,0.09%
12/10/2021,"1,519.46","1,528.17","1,533.23","1,517.59",0.17M,-0.66%
12/9/2021,"1,529.61","1,509.40","1,529.61","1,509.40",0.14M,0.89%
12/8/2021,"1,516.16","1,515.59","1,523.95","1,508.69",0.18M,0.23%
12/7/2021,"1,512.62","1,493.07","1,512.62","1,488.13",0.17M,2.14%
12/6/2021,"1,480.92","1,507.45","1,515.47","1,464.91",0.26M,-1.53%
12/3/2021,"1,503.98","1,550.81","1,551.97","1,503.98",0.24M,-2.39%
12/2/2021,"1,540.88","1,553.21","1,555.49","1,540.88",0.16M,-0.58%
