Date,Close,Open,High,Low,Volumn,Percent Change
14/07/2022,"1,221.94","1,213.73","1,224.01","1,211.14",106757900,0.41%
13/07/2022,"1,216.94","1,216.83","1,225.85","1,213.41",117179900,-0.21%
12/7/2022,"1,219.44","1,208.06","1,219.44","1,204.84",88675600,0.86%
11/7/2022,"1,209.02","1,224.20","1,224.20","1,200.15",131002300,-1.83%
8/7/2022,"1,231.54","1,235.65","1,236.85","1,225.04",115987500,0.19%
7/7/2022,"1,229.23","1,212.36","1,229.23","1,209.97",98638500,1.43%
6/7/2022,"1,211.94","1,241.19","1,241.19","1,211.94",131179800,-2.42%
5/7/2022,"1,242.05","1,252.48","1,256.47","1,239.80",162030600,-0.51%
4/7/2022,"1,248.37","1,256.20","1,260.72","1,244.50",112840000,-0.31%
1/7/2022,"1,252.24","1,247.70","1,255.67","1,225.64",118891000,0.27%
30/06/2022,"1,248.92","1,273.99","1,276.23","1,248.92",118013500,-1.92%
29/06/2022,"1,273.40","1,259.83","1,274.73","1,259.41",113295900,0.00%
28/06/2022,"1,273.41","1,254.35","1,276.21","1,249.57",151571400,1.33%
27/06/2022,"1,256.67","1,238.23","1,256.67","1,237.79",110597100,1.72%
24/06/2022,"1,235.47","1,239.54","1,246.22","1,234.72",90437000,-0.41%
23/06/2022,"1,240.58","1,227.18","1,240.58","1,219.08",105240000,1.09%
22/06/2022,"1,227.18","1,233.28","1,242.06","1,222.86",142695000,0.22%
21/06/2022,"1,224.54","1,220.76","1,240.80","1,212.69",172801800,-0.08%
20/06/2022,"1,225.56","1,258.30","1,262.83","1,223.03",168768300,-2.58%
17/06/2022,"1,258.03","1,254.05","1,259.39","1,229.74",187300200,-1.74%
16/06/2022,"1,280.37","1,266.87","1,292.02","1,263.56",156455300,2.18%
15/06/2022,"1,253.09","1,263.96","1,268.33","1,231.12",167431200,-0.64%
14/06/2022,"1,261.16","1,247.39","1,271.28","1,245.26",145640500,0.02%
13/06/2022,"1,260.85","1,295.26","1,300.45","1,260.85",199019600,-4.89%
10/6/2022,"1,325.69","1,332.93","1,344.85","1,325.69",136585200,-1.28%
9/6/2022,"1,342.92","1,344.56","1,346.13","1,335.28",126600400,0.07%
8/6/2022,"1,342.03","1,328.95","1,348.40","1,325.65",163072000,1.33%
7/6/2022,"1,324.37","1,323.19","1,324.37","1,297.98",153980900,-0.20%
6/6/2022,"1,327.04","1,328.73","1,336.96","1,320.97",132834400,-0.03%
3/6/2022,"1,327.40","1,325.49","1,329.90","1,313.40",100179800,0.14%
2/6/2022,"1,325.49","1,339.12","1,342.47","1,319.85",133902700,-0.75%
1/6/2022,"1,335.49","1,329.02","1,341.47","1,323.07",127582100,0.22%
31/05/2022,"1,332.59","1,342.08","1,342.08","1,324.46",127915900,-0.77%
30/05/2022,"1,342.87","1,337.39","1,342.87","1,329.38",121531100,0.54%
27/05/2022,"1,335.68","1,311.78","1,336.99","1,310.64",139406400,2.00%
26/05/2022,"1,309.50","1,312.56","1,319.21","1,304.59",127930000,-0.09%
25/05/2022,"1,310.70","1,277.54","1,311.32","1,273.29",172697800,2.98%
24/05/2022,"1,272.71","1,255.77","1,272.71","1,242.36",146366400,1.38%
23/05/2022,"1,255.35","1,287.49","1,287.65","1,245.41",139331100,-2.12%
20/05/2022,"1,282.51","1,284.89","1,296.00","1,273.40",110100400,-0.08%
19/05/2022,"1,283.55","1,259.59","1,291.49","1,255.63",130077200,-0.22%
18/05/2022,"1,286.41","1,289.50","1,298.69","1,268.13",159937700,0.54%
17/05/2022,"1,279.55","1,211.88","1,279.55","1,203.51",161817400,5.31%
16/05/2022,"1,215.08","1,254.88","1,258.25","1,214.29",172770300,-0.71%
13/05/2022,"1,223.76","1,281.28","1,284.94","1,219.52",237555200,-4.38%
12/5/2022,"1,279.76","1,337.01","1,339.25","1,279.48",163224300,-5.19%
11/5/2022,"1,349.82","1,344.14","1,355.11","1,324.20",94773600,0.32%
10/5/2022,"1,345.46","1,312.10","1,345.46","1,285.67",157234400,2.39%
9/5/2022,"1,314.04","1,358.56","1,360.64","1,308.34",200878800,-4.31%
6/5/2022,"1,373.21","1,399.54","1,399.54","1,371.00",129906600,-2.25%
5/5/2022,"1,404.88","1,402.60","1,405.43","1,373.42",122134200,1.10%
4/5/2022,"1,389.59","1,415.43","1,415.45","1,389.59",114189600,-1.96%
29/04/2022,"1,417.31","1,400.88","1,417.31","1,394.17",128034900,1.17%
28/04/2022,"1,400.88","1,400.60","1,407.82","1,392.24",91674500,-0.08%
27/04/2022,"1,402.03","1,394.85","1,407.70","1,362.87",108117400,0.37%
26/04/2022,"1,396.90","1,347.83","1,397.43","1,318.50",181776700,2.23%
